source,last_updated,indicator,period,consumer_price_index_and_inflation
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2016-04,18.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2016-03,19.2
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2016-02,18.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2016-01,19.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2015-12,17.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2015-11,17.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2015-10,17.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2015-09,17.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2015-08,17.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2015-07,17.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2015-06,17.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2015-05,16.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2015-04,16.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2015-03,16.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2015-02,16.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2015-01,16.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2014-12,17.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2014-11,17.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2014-10,16.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2014-09,16.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2014-08,15.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2014-07,15.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2014-06,15.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2014-05,14.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2014-04,14.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2014-03,14.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2014-02,14.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2014-01,13.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2013-12,13.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2013-11,13.2
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2013-10,13.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2013-09,11.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2013-08,11.5
