category,title,price_ghs,condition,tags,region,area,location,price_outlier_flag,url,source,scraped_date
Vehicles,Ford F-150 Lariat 2010 Silver,200000.0,Used,"Local Used, Automatic",Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan",True,https://tonaton.com/a-MfYFNdCgL2BE2NccRA2LLjAmCZ0EKY8B-ford-f-150-lariat-2010-silver.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Toyota RAV4 LE AWD (2.5L 4cyl 6A) 2016 Silver,195000.0,Used,"Local Used, Automatic, 73000 km",Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",True,https://tonaton.com/a-MfYFNdCgzx43zaJfH0T7vzstr3xFEHXX-toyota-rav4-le-awd-2-5l-4cyl-6a-2016-silver.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Catalytic Converter and Oxygen Sensor Cleaner,250.0,Brand New,Brand New,Greater Accra,Dansoman,"Greater Accra, Dansoman",False,https://tonaton.com/a-MfYFNdCgT4GXm9rCzZtjV1vlPaobufhm-catalytic-converter-and-oxygen-sensor-cleaner.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Trottle and Carburetor,600.0,Used,Used,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",False,https://tonaton.com/a-MfYFNdCgKoz4nU0zXKxzm1MJ5dajlUKQ-trottle-and-carburetor.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Zoomlion Ze215g,1800000.0,Brand New,Brand New,Greater Accra,Dworwulu,"Greater Accra, Dworwulu",True,https://tonaton.com/a-MfYFNdCgGOiUvvkXfcG0HgTL2zuixcEM-zoomlion-ze215g.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Car Headlight Bulbs and Fork Light,80.0,Used,"Bulk prices, Used",Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",False,https://tonaton.com/a-MfYFNdCgw4Bl3tUeHeR3IchhgKWw619K-car-headlight-bulbs-and-fork-light.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,R1234yf Gas Genuine Hfo Refrigerant,1800.0,Brand New,Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",False,https://tonaton.com/a-MfYFNdCgUYQ5GxxfqPJCQwILix1w12AD-r1234yf-gas-genuine-hfo-refrigerant.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Chevrolet Cruze 2020 Lower Arm / Control Arm,2000.0,Brand New,Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",False,https://tonaton.com/a-MfYFNdCgiQxl9h4fUvapFISyseI31TlC-chevrolet-cruze-2020-lower-arm-control-arm.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Classic Plate,80.0,Brand New,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",False,https://tonaton.com/a-MfYFNdCgPkwd1RyFPEvMUZo390ojltLX-classic-plate.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Home Used Toyota Corolla Rim,3000.0,Used,Used,Greater Accra,Darkuman,"Greater Accra, Darkuman",False,https://tonaton.com/a-MfYFNdCgz2XM6DSIZQj1XPaFUkXDM1Us-home-used-toyota-corolla-rim.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Car Jump Starter and Tire Pump Set Complete Kits,600.0,Brand New,Brand New,Greater Accra,Circle,"Greater Accra, Circle",False,https://tonaton.com/a-MfYFNdCgEUO2A9b8irdbUV0eSR2S2csk-car-jump-starter-and-tire-pump-set-complete-kits.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Toyota Corolla 2009 to 2013 Back Cover and Clutch,2600.0,Refurbished,"Bulk prices, Refurbished",Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",False,https://tonaton.com/a-MfYFNdCh3IRQAl63PtWVwNGqbXUj2nvw-toyota-corolla-2009-to-2013-back-cover-and-clutch.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,"Honda Accord 2018,2022 Front Beam Available",3900.0,Used,Used,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",False,https://tonaton.com/a-MfYFNdCgbTzqTzFNQHudCVFT1c2juAOh-honda-accord-2018-2022-front-beam-available.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Hyundai and Kia Home Used Car Engines,10000.0,Used,Used,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",False,https://tonaton.com/a-MfYFNdCgfTQdrKUqAeYK688axj48wkXX-hyundai-and-kia-home-used-car-engines.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Power Exhaust,480.0,Brand New,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",False,https://tonaton.com/a-MfYFNdCgHV4GS7FPyO6AUVC5gWhRKuVg-power-exhaust.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,"Honda Civic 2016,2017,2018,2019,2020, Spec Bumper",5500.0,Brand New,Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",False,https://tonaton.com/a-MfYFNdCgObZUCRv4qt41wk8hgXXYeD3b-honda-civic-2016-2017-2018-2019-2020-spec-bumper.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Toyota Avensis 2.0 Advanced Automatic 2010 Black,115000.0,Used,"Local Used, Automatic, 185850 km",Greater Accra,Adenta,"Greater Accra, Adenta",True,https://tonaton.com/a-MfYFNdCgYbjhBbCkAhJuX7qWIm4aWiU8-toyota-avensis-2-0-advanced-automatic-2010-black.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Portable Obd2 Scanner,300.0,Brand New,"Bulk prices, Brand New",Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",False,https://tonaton.com/a-MfYFNdCgvtoiXkKHzWTFwQj2nlszbvTW-portable-obd2-scanner.html,Tonaton Ghana (tonaton.com),2026-04-20
